YEAR_MONTH,FISCAL_YEAR,BRAND,BRAND_QUALITY_SIZE,SALES_CHANNEL,VOLUME_IN_L,NET_SALES,COGS
201909,2020,brand_f,,on_trade,36782.28,236091.07,68930.05
201910,2020,brand_a,,off_trade,332678.232,1333108.84,561653.78
201809,2019,brand_a,,on_trade,114200.712,289170.26,201004.14
202005,2020,brand_e,,on_trade,-163.809,-22234.23,408.86
201907,2020,brand_d,,on_trade,15793.74,45059.87,30674.72
202006,2020,brand_d,,on_trade,3432.195,-33594.44,7244.96
201912,2020,brand_e,,on_trade,5063.427,36698.6,12470.76
202301,2023,brand_h,,on_trade,37427.994,239092.91,50813.01
201809,2019,brand_g,,off_trade,141615.9,1106673.09,272564
201904,2019,brand_g,,off_trade,116118.774,930459.55,223820.77
201905,2019,brand_e,,off_trade,48696.345,650254.96,109038.97
201808,2019,brand_a,,on_trade,123218.883,236306.76,210726.45
202104,2021,brand_g,,on_trade,12777.66,108195.58,24901.77
201808,2019,brand_h,,on_trade,44481.582,228831.12,57346.96
201901,2019,brand_h,,on_trade,25149.591,147194.9,32423
202212,2023,brand_h,,off_trade,356924.736,2039080.17,497864.29
202302,2023,brand_h,,off_trade,142809.831,778251.85,196771.09
201912,2020,brand_b,,off_trade,202073.184,749364.17,296406.33
202209,2023,brand_i,,off_trade,26226.882,296585.44,115974.91
202211,2023,brand_i,,off_trade,40874.355,311129.38,183251.3
201906,2019,brand_l,,on_trade,30947.544,123266.18,59816.16
202005,2020,brand_m,,on_trade,481.635,28575.96,3189.75
202003,2020,brand_g,,on_trade,36939.069,170852.45,65176.78
202112,2022,brand_l,,off_trade,23374.764,188788.37,73002.11
202105,2021,brand_f,,on_trade,80908.317,435069.29,153154.33
202108,2022,brand_e,,off_trade,66789.351,640186.22,153327.41
202207,2023,brand_e,,on_trade,1974.501,49939.53,8975.41
201807,2019,brand_f,,off_trade,55010.934,276004.48,97470.76
202206,2022,brand_k,,on_trade,6350.337,231081.09,45151.34
202004,2020,brand_g,,off_trade,157628.052,1067677.68,278156.97
202007,2021,brand_d,,on_trade,5555.151,24929.41,11256.77
202010,2021,brand_d,,on_trade,6852.24,12676.01,14386.41
202011,2021,brand_d,,on_trade,2074.743,-289.29,4806.86
202112,2022,brand_c,,on_trade,1548,347.8,3371.31
202007,2021,brand_g,,off_trade,233823.096,1905424.77,446433.17
202010,2021,brand_g,,off_trade,312690.051,2498245.34,594358.24
202012,2021,brand_b,,off_trade,175858.038,629937.57,254629.58
202010,2021,brand_m,,on_trade,482.724,20830.35,3828.57
201912,2020,brand_h,,off_trade,311400.045,1564882.56,395151.55
201808,2019,brand_j,,off_trade,17913.033,118919.28,31946.13
202302,2023,brand_i,,on_trade,8803.215,115899.22,39401.59
202206,2022,brand_e,,on_trade,1882.512,15035.28,11396.75
201809,2019,brand_h,,on_trade,45593.973,275284.12,58780.8
202112,2022,brand_c,,off_trade,333888.741,1085254.63,735197.9
202106,2021,brand_a,,off_trade,418033.854,1067060.17,681995.71
202007,2021,brand_f,,off_trade,64205.937,357066.48,120381.21
202107,2022,brand_h,,on_trade,62219.07,365716.28,81894.16
202206,2022,brand_h,,on_trade,70281.864,318678.73,88797.54
201812,2019,brand_f,,on_trade,51925.104,294648.16,95489.31
201901,2019,brand_f,,on_trade,21074.4,117281.64,41276.4
202006,2020,brand_b,,on_trade,2217.789,-484280,3319.49
202205,2022,brand_b,,off_trade,103682.952,351947.27,144110.68
202110,2022,brand_k,,on_trade,6598.791,221571.16,46917.46
202201,2022,brand_k,,on_trade,1219.797,42348.01,8672.78
202003,2020,brand_g,,off_trade,354257.946,2604304.54,624899.85
201905,2019,brand_e,,on_trade,2408.733,-64712.17,6007.14
202009,2021,brand_d,,on_trade,5987.43,10771.34,10982.06
202212,2023,brand_f,,off_trade,106306.038,696326.93,206637.91
201911,2020,brand_h,,off_trade,275760.063,1377314.21,337766.3
201808,2019,brand_c,,off_trade,733083.984,2072499.93,1426591.06
201901,2019,brand_c,,on_trade,9999,29932.7,19211.57
202103,2021,brand_a,,off_trade,475135.299,2189100.74,721543.57
201907,2020,brand_b,,off_trade,217476.567,868836.89,324663.8
201811,2019,brand_f,,on_trade,67887.684,374666.54,123921.83
202110,2022,brand_b,,off_trade,182423.205,658652.22,254013.2
202211,2023,brand_f,,off_trade,90572.247,520325.73,182264
202201,2022,brand_b,,on_trade,19868.427,-546.87,27794.71
202008,2021,brand_g,,on_trade,17976.033,147295.75,33263.2
202202,2022,brand_j,,on_trade,36573.579,379436.79,65288.27
202203,2022,brand_j,,on_trade,45498.582,442112.34,81220.45
202207,2023,brand_i,,off_trade,25455.006,189262.87,116328.17
201810,2019,brand_m,,on_trade,2381.157,47205.3,7971.14
201902,2019,brand_m,,on_trade,1003.113,15842.04,3110.34
201906,2019,brand_m,,on_trade,2011.626,67543.38,6790.01
202003,2020,brand_e,,off_trade,96183.846,991742.02,211683.51
202101,2021,brand_d,,off_trade,513423.216,1652976.83,1172014.96
201810,2019,brand_c,,on_trade,18873,69466.21,36261.61
202103,2021,brand_i,,off_trade,38260.161,497971.51,176715.02
202211,2023,brand_k,,off_trade,4690.764,138640.97,32933.85
201901,2019,brand_b,,off_trade,82509.507,444703.18,157810.52
201903,2019,brand_b,,off_trade,97993.575,380228.86,181271.88
201912,2020,brand_e,,off_trade,131481.144,1355467.99,291885.82
202210,2023,brand_d,,on_trade,18301.5,66146.11,33761.04
201906,2019,brand_j,,on_trade,15090.687,191309.4,26887.98
202109,2022,brand_d,,on_trade,12825,40296.88,24037.7
201911,2020,brand_l,,on_trade,7198.848,80953.55,21760.24
201808,2019,brand_k,,off_trade,2320.182,66085.19,16903.97
202008,2021,brand_e,,on_trade,792.027,15158.22,2112.64
202007,2021,brand_j,,on_trade,4027.788,25886.05,7996.33
202010,2021,brand_j,,on_trade,16648.794,120685.38,33052.66
202111,2022,brand_l,,on_trade,5279.409,38780.71,16488.12
201907,2020,brand_j,,on_trade,14704.182,126433.21,26023.55
202109,2022,brand_j,,off_trade,46846.755,350043.15,83627.12
202107,2022,brand_c,,on_trade,5728.5,20157.58,12475.76
201911,2020,brand_a,,on_trade,177762.465,427451.17,285814.75
202211,2023,brand_a,,off_trade,541955.574,2733300.61,838459.51
201908,2020,brand_a,,on_trade,129503.727,303014.92,213888.66
201901,2019,brand_j,,off_trade,14284.224,96223.15,25478.6
202204,2022,brand_a,,off_trade,318493.773,1474448.81,491349.62
202208,2023,brand_a,,on_trade,161457.498,-1828958.87,270689.98
202203,2022,brand_b,,off_trade,86026.68,293230.08,119587.35
202212,2023,brand_g,,off_trade,446719.041,4143348.76,887962.3
202103,2021,brand_f,,on_trade,1957.923,-78058.03,4846.22
202207,2023,brand_a,,on_trade,164892.393,2862666.34,279420.26
201901,2019,brand_k,,on_trade,3659.373,104512.2,26660.94
201903,2019,brand_h,,off_trade,114120.522,592202.04,147136.62
202003,2020,brand_l,,off_trade,18400.158,130067.93,55619.13
202202,2022,brand_b,,off_trade,58813.155,252715.46,80687.36
201902,2019,brand_j,,off_trade,12822.615,74583.49,22988.16
202001,2020,brand_b,,off_trade,74786.94,270585.22,109835.53
202008,2021,brand_f,,off_trade,64298.916,435490.15,127351.32
201906,2019,brand_a,,on_trade,125527.995,-226594.74,214963.68
201904,2019,brand_m,,off_trade,24746.985,351007.85,71233.04
202104,2021,brand_e,,on_trade,985.626,114056.48,4466.25
201810,2019,brand_m,,off_trade,84492.855,942972.39,236983.9
202204,2022,brand_i,,off_trade,37997.937,406840.06,171594.82
201911,2020,brand_d,,off_trade,1772250.831,5737238.04,3734219.11
202108,2022,brand_a,,on_trade,167745.15,462768.31,304271.02
202110,2022,brand_a,,on_trade,221307.705,552364.23,360697.88
202101,2021,brand_b,,off_trade,58022.397,352360,84463.48
202001,2020,brand_f,,off_trade,25594.191,133116.59,45090.21
202203,2022,brand_j,,off_trade,58133.925,440824.67,103776.1
202107,2022,brand_i,,off_trade,59653.755,660700.31,263798.39
202005,2020,brand_b,,on_trade,-11311.2,-192174.38,-15966.5
202005,2020,brand_c,,off_trade,786739.716,2259744.53,1500871.61
202102,2021,brand_m,,off_trade,34238.205,423137.12,95224.93
202208,2023,brand_m,,on_trade,1413.306,27563.28,5167.74
202301,2023,brand_i,,off_trade,19137.33,211369.71,86310.78
202010,2021,brand_h,,off_trade,198050.904,931167.23,257806.83
202001,2020,brand_k,,on_trade,2607.579,86334.45,18456.39
202002,2020,brand_j,,on_trade,12746.988,109788.58,22488.12
202105,2021,brand_d,,on_trade,18567,58055.12,36248.01
202110,2022,brand_i,,on_trade,10204.767,130515.75,43770.48
202006,2020,brand_e,,off_trade,101249.865,939295.92,228389.28
201903,2019,brand_m,,on_trade,1249.236,28946.26,4118.49
202111,2022,brand_h,,on_trade,109411.722,672188.17,138194.72
202112,2022,brand_h,,on_trade,43168.815,153646.39,54512.34
201911,2020,brand_l,,off_trade,31436.964,348404.95,95026.07
202203,2022,brand_h,,off_trade,253174.239,1270317.73,333688.05
202205,2022,brand_d,,off_trade,924063.732,3117394.02,1969683.07
202105,2021,brand_e,,on_trade,2074.311,25253.32,5908.23
202105,2021,brand_f,,off_trade,70267.752,455563.1,142959.78
201811,2019,brand_h,,on_trade,71741.376,448013.99,92490.93
202102,2021,brand_e,,off_trade,73952.073,774360,93081.36
201909,2020,brand_d,,on_trade,13392,37925.22,25473.72
202109,2022,brand_i,,off_trade,33521.031,381314.7,149168.36
202208,2023,brand_h,,on_trade,76275.522,35351.03,103158.4
202107,2022,brand_f,,on_trade,77892.21,382451.3,138121.86
202205,2022,brand_f,,on_trade,98533.836,609891.41,174288.16
202210,2023,brand_k,,off_trade,3238.812,101639.09,22739.51
201911,2020,brand_k,,on_trade,9382.176,327356.49,66406.63
202006,2020,brand_k,,on_trade,391.608,-49771.06,2771.7
201910,2020,brand_j,,off_trade,20714.4,121861.63,36650.42
201902,2019,brand_b,,off_trade,36237.555,134304.53,67038.22
202110,2022,brand_m,,on_trade,1036.134,18679.88,3346.94
202009,2021,brand_c,,off_trade,994284.459,2742526.15,1881613.36
201902,2019,brand_e,,on_trade,1559.745,-18763.44,6317.9
202202,2022,brand_g,,on_trade,39830.751,299025.73,78185.46
202002,2020,brand_e,,on_trade,3254.436,30695.87,7766.91
202004,2020,brand_i,,off_trade,19532.997,194912.14,91036.84
202205,2022,brand_l,,off_trade,38572.767,250874.85,120467.16
201808,2019,brand_d,,off_trade,1059910.47,3203034.4,2273954.61
202204,2022,brand_k,,off_trade,2914.2,101791.97,20719.95
202007,2021,brand_c,,off_trade,1203136.344,3297487.45,2246979.24
201907,2020,brand_c,,off_trade,648387.054,1884388.71,1249161.23
201809,2019,brand_d,,on_trade,20664.81,68178.49,41338.59
201908,2020,brand_c,,on_trade,24600.06,89226.86,46705.25
201910,2020,brand_c,,on_trade,29068.56,108053.75,55112.61
201907,2020,brand_l,,on_trade,5539.779,59164.15,16745.47
202004,2020,brand_l,,on_trade,-201.6,-10243.33,-609.37
202102,2021,brand_l,,on_trade,178.227,-2110.66,529.81
202109,2022,brand_j,,on_trade,27266.373,250728.69,48673.8
201808,2019,brand_k,,on_trade,6413.337,214984.67,46725.41
201809,2019,brand_k,,on_trade,6638.967,218212.48,48369.11
202007,2021,brand_b,,off_trade,158572.647,517374.46,229422.59
201908,2020,brand_k,,off_trade,2965.788,104856.64,20991.73
202012,2021,brand_a,,on_trade,30200.058,-203474.98,51216.94
201910,2020,brand_f,,on_trade,47302.668,275564.84,86289.33
201910,2020,brand_e,,on_trade,2420.532,17372.64,9312.18
202210,2023,brand_e,,on_trade,1843.218,24993.84,4287.34
201812,2019,brand_a,,off_trade,477727.722,1879890.16,889714.14
202004,2020,brand_e,,on_trade,-67.176,126819.47,310.29
202203,2022,brand_g,,on_trade,55714.491,343325.01,109775.35
202108,2022,brand_a,,off_trade,335007,1246918.27,561013.72
201903,2019,brand_g,,off_trade,323780.724,2335648.77,626793.03
202211,2023,brand_e,,on_trade,3123.801,51531.63,9768.99
202210,2023,brand_b,,off_trade,97275.546,416306.07,153645.01
202201,2022,brand_i,,off_trade,24456.555,264884.91,108802.15
202011,2021,brand_j,,off_trade,87540.498,446390.63,173853.27
202012,2021,brand_j,,off_trade,123710.877,708823.38,245643.3
202105,2021,brand_j,,off_trade,49685.985,422680.66,98641.08
201909,2020,brand_a,,off_trade,296103.375,1291765.44,463959.5
201811,2019,brand_b,,on_trade,119116.422,310794.83,178884.34
201810,2019,brand_g,,off_trade,234059.751,1773534.79,461490.52
202003,2020,brand_f,,off_trade,34496.388,220127.86,62914.29
202105,2021,brand_k,,off_trade,2798.964,83573.25,20268.07
202012,2021,brand_g,,on_trade,5405.445,-38583.12,12053.12
201902,2019,brand_h,,on_trade,37058.616,204106.53,47778.44
202210,2023,brand_h,,off_trade,298593.936,1576480.75,412104.94
202301,2023,brand_h,,off_trade,128213.658,915252.28,176547.22
202006,2020,brand_i,,off_trade,65728.746,611096.85,306340.09
201908,2020,brand_b,,off_trade,175478.517,555629.55,258900.69
202109,2022,brand_b,,on_trade,74261.349,205459.15,98930.74
201902,2019,brand_g,,on_trade,39114.918,275283.05,75330.38
202108,2022,brand_l,,off_trade,26039.358,211092.32,81323.94
202205,2022,brand_h,,on_trade,70995.528,396602.83,89669.47
202009,2021,brand_f,,on_trade,41527.278,293093.4,77292.07
202205,2022,brand_m,,off_trade,49421.358,719021.38,127925.27
201908,2020,brand_g,,on_trade,37994.4,260321.25,66431.1
202004,2020,brand_b,,on_trade,-4439.385,-367839,-6438.38
202210,2023,brand_b,,on_trade,84474.531,295861.81,129672.69
202012,2021,brand_g,,off_trade,446103.198,3577355,850073.54
202105,2021,brand_g,,off_trade,196249.572,1386327.22,391301.94
202005,2020,brand_l,,off_trade,31042.197,211701.76,93832.65
202003,2020,brand_i,,on_trade,1560.06,18238.91,7270.7
201812,2019,brand_a,,on_trade,158075.721,561232.95,262057.2
201812,2019,brand_b,,on_trade,105483.078,383298.64,157373.82
202010,2021,brand_j,,off_trade,36220.788,203206.86,71908.75
202010,2021,brand_a,,off_trade,397598.958,1844834.07,630114.03
201909,2020,brand_m,,on_trade,1215.333,18471.86,5154.94
202203,2022,brand_l,,off_trade,29454.57,197748.99,91989.97
202001,2020,brand_c,,off_trade,331995.636,1087189.78,626381.68
201911,2020,brand_m,,on_trade,2186.136,113733.19,9112.69
202005,2020,brand_d,,off_trade,1395437.724,4236504.72,2717465.53
201808,2019,brand_f,,on_trade,52266.303,217428.31,98963.99
201811,2019,brand_f,,off_trade,36536.382,204540.62,64953.7
201812,2019,brand_d,,on_trade,23895,90186.14,47037.84
202103,2021,brand_h,,off_trade,253895.832,1295248.52,340456.29
201905,2019,brand_l,,off_trade,20088.612,144579.93,58566.17
202103,2021,brand_b,,off_trade,153044.316,498144.64,219306.22
201908,2020,brand_l,,off_trade,27472.212,213384.02,83041.46
202104,2021,brand_b,,on_trade,39766.752,45497.84,56997.88
201905,2019,brand_j,,off_trade,15850.8,99527.17,28241.01
201907,2020,brand_d,,off_trade,1034588.025,3358092.89,2208378.54
202104,2021,brand_g,,off_trade,136049.328,1160417.09,261303.42
202012,2021,brand_j,,on_trade,8131.194,29170.47,16142.82
202105,2021,brand_j,,on_trade,36661.788,339706.77,72784.24
202209,2023,brand_m,,on_trade,1045.8,21626.51,2830.76
202201,2022,brand_l,,on_trade,2230.227,32676.91,6965.14
201908,2020,brand_j,,on_trade,17858.376,156593.65,31543
202003,2020,brand_j,,on_trade,15892.785,127932.67,28037.86
202009,2021,brand_e,,off_trade,128333.907,1322856.71,302782.94
202212,2023,brand_j,,on_trade,48623.373,474718.48,70145.29
201810,2019,brand_d,,on_trade,26575.56,100430.77,52890.15
202011,2021,brand_c,,off_trade,1053442.332,3135608.21,2017400.51
202012,2021,brand_c,,off_trade,582467.913,1642392.45,1121510.18
202004,2020,brand_k,,off_trade,4993.803,143784.44,35345.79
202202,2022,brand_m,,on_trade,1465.794,33538.73,6004.42
202108,2022,brand_j,,on_trade,33310.17,390853.44,59462.69
201810,2019,brand_b,,off_trade,92775.177,347266.75,162376.96
202211,2023,brand_d,,on_trade,17595,57909.94,32772.14
201901,2019,brand_k,,off_trade,2669.382,67399.8,19448.14
202008,2021,brand_l,,on_trade,2709.027,29280.4,8053.81
